Model,Inference,Accuracy,Precision,Recall,F1,ROC-AUC,Mean inference (ms),N test
Expert Heart Disease BN,VE,0.5217391304347826,0.8695652173913043,0.15748031496062992,0.26666666666666666,0.618874703768825,11.259239130433478,230
Expert Heart Disease BN,BP,0.56,1.0,0.15384615384615385,0.26666666666666666,0.5769230769230771,2364.802226119999,25
Chow-Liu Tree BN,VE,0.7913043478260869,0.7883211678832117,0.8503937007874016,0.8181818181818182,0.8560507606452106,1.189975278263635,230
Chow-Liu Tree BN,BP,0.76,0.7058823529411765,0.9230769230769231,0.8,0.8301282051282052,29.562495200011654,25
